id,terrestrial_date,sol,ls,month,min_temp,pressure,days_since_start
2,2012-08-16,1970-01-01 00:00:00.000000010,155,6,-75.0,739.0,0
13,2012-08-17,1970-01-01 00:00:00.000000011,156,6,-76.0,740.0,1
24,2012-08-18,1970-01-01 00:00:00.000000012,156,6,-76.0,741.0,2
35,2012-08-19,1970-01-01 00:00:00.000000013,157,6,-74.0,732.0,3
46,2012-08-20,1970-01-01 00:00:00.000000014,157,6,-74.0,740.0,4
57,2012-08-21,1970-01-01 00:00:00.000000015,158,6,-78.0,740.0,5
68,2012-08-22,1970-01-01 00:00:00.000000016,158,6,-77.0,740.0,6
79,2012-08-23,1970-01-01 00:00:00.000000017,159,6,-76.0,742.0,7
112,2012-08-27,1970-01-01 00:00:00.000000021,161,6,-74.0,741.0,8
114,2012-08-28,1970-01-01 00:00:00.000000022,162,6,-74.0,742.0,9
123,2012-08-29,1970-01-01 00:00:00.000000023,162,6,-75.0,741.0,10
134,2012-08-30,1970-01-01 00:00:00.000000024,163,6,-75.0,742.0,11
145,2012-08-31,1970-01-01 00:00:00.000000025,163,6,-75.0,743.0,12
156,2012-09-01,1970-01-01 00:00:00.000000026,164,6,-76.0,745.0,13
163,2012-09-02,1970-01-01 00:00:00.000000027,164,6,-75.0,743.0,14
170,2012-09-03,1970-01-01 00:00:00.000000028,165,6,-75.0,745.0,15
171,2012-09-04,1970-01-01 00:00:00.000000029,166,6,-75.0,747.0,16
172,2012-09-05,1970-01-01 00:00:00.000000030,166,6,-74.0,747.0,17
173,2012-09-06,1970-01-01 00:00:00.000000031,167,6,-74.0,745.0,18
175,2012-09-08,1970-01-01 00:00:00.000000033,168,6,-73.0,748.0,19
176,2012-09-10,1970-01-01 00:00:00.000000034,168,6,-73.0,748.0,20
177,2012-09-11,1970-01-01 00:00:00.000000035,169,6,-73.0,749.0,21
178,2012-09-12,1970-01-01 00:00:00.000000036,169,6,-73.0,750.0,22
179,2012-09-13,1970-01-01 00:00:00.000000037,170,6,-73.0,750.0,23
180,2012-09-14,1970-01-01 00:00:00.000000038,171,6,-73.0,750.0,24
181,2012-09-15,1970-01-01 00:00:00.000000039,171,6,-75.0,751.0,25
182,2012-09-16,1970-01-01 00:00:00.000000040,172,6,-75.0,753.0,26
183,2012-09-17,1970-01-01 00:00:00.000000041,172,6,-75.0,753.0,27
184,2012-09-18,1970-01-01 00:00:00.000000042,173,6,-75.0,754.0,28
185,2012-09-19,1970-01-01 00:00:00.000000043,173,6,-74.0,756.0,29
186,2012-09-20,1970-01-01 00:00:00.000000044,174,6,-75.0,757.0,30
187,2012-09-21,1970-01-01 00:00:00.000000045,175,6,-74.0,758.0,31
188,2012-09-22,1970-01-01 00:00:00.000000046,175,6,-74.0,758.0,32
189,2012-09-23,1970-01-01 00:00:00.000000047,176,6,-75.0,758.0,33
190,2012-09-24,1970-01-01 00:00:00.000000048,176,6,-75.0,759.0,34
191,2012-09-25,1970-01-01 00:00:00.000000049,177,6,-74.0,761.0,35
192,2012-09-26,1970-01-01 00:00:00.000000050,177,6,-72.0,761.0,36
193,2012-09-27,1970-01-01 00:00:00.000000051,178,6,-76.0,762.0,37
194,2012-09-28,1970-01-01 00:00:00.000000052,179,6,-74.0,762.0,38
195,2012-09-29,1970-01-01 00:00:00.000000053,179,6,-71.0,764.0,39
196,2012-09-30,1970-01-01 00:00:00.000000054,180,7,-72.0,766.0,40
197,2012-10-01,1970-01-01 00:00:00.000000055,180,7,-74.0,766.0,41
198,2012-10-02,1970-01-01 00:00:00.000000056,181,7,-73.0,768.0,42
199,2012-10-03,1970-01-01 00:00:00.000000057,181,7,-73.0,769.0,43
200,2012-10-04,1970-01-01 00:00:00.000000058,182,7,-74.0,769.0,44
201,2012-10-05,1970-01-01 00:00:00.000000059,183,7,-76.0,771.0,45
202,2012-10-06,1970-01-01 00:00:00.000000060,183,7,-75.0,772.0,46
203,2012-10-07,1970-01-01 00:00:00.000000061,184,7,-72.0,772.0,47
204,2012-10-08,1970-01-01 00:00:00.000000062,184,7,-72.0,774.0,48
205,2012-10-09,1970-01-01 00:00:00.000000063,185,7,-73.0,775.0,49
206,2012-10-10,1970-01-01 00:00:00.000000064,186,7,-74.0,776.0,50
207,2012-10-11,1970-01-01 00:00:00.000000065,186,7,-72.0,777.0,51
208,2012-10-12,1970-01-01 00:00:00.000000066,187,7,-73.0,778.0,52
209,2012-10-13,1970-01-01 00:00:00.000000067,187,7,-73.0,780.0,53
210,2012-10-14,1970-01-01 00:00:00.000000068,188,7,-71.0,781.0,54
211,2012-10-15,1970-01-01 00:00:00.000000069,189,7,-73.0,778.0,55
212,2012-10-17,1970-01-01 00:00:00.000000070,189,7,-72.0,783.0,56
213,2012-10-18,1970-01-01 00:00:00.000000071,190,7,-71.0,784.0,57
214,2012-10-19,1970-01-01 00:00:00.000000072,190,7,-73.0,785.0,58
215,2012-10-20,1970-01-01 00:00:00.000000073,191,7,-70.0,788.0,59
216,2012-10-21,1970-01-01 00:00:00.000000074,192,7,-72.0,790.0,60
217,2012-10-22,1970-01-01 00:00:00.000000075,192,7,-73.0,791.0,61
218,2012-10-23,1970-01-01 00:00:00.000000076,193,7,-73.0,792.0,62
219,2012-10-24,1970-01-01 00:00:00.000000077,193,7,-71.0,792.0,63
220,2012-10-25,1970-01-01 00:00:00.000000078,194,7,-71.0,793.0,64
221,2012-10-26,1970-01-01 00:00:00.000000079,195,7,-73.0,795.0,65
222,2012-10-27,1970-01-01 00:00:00.000000080,195,7,-70.0,796.0,66
223,2012-10-28,1970-01-01 00:00:00.000000081,196,7,-72.0,798.0,67
224,2012-10-29,1970-01-01 00:00:00.000000082,196,7,-72.0,799.0,68
225,2012-10-30,1970-01-01 00:00:00.000000083,197,7,-72.0,801.0,69
226,2012-10-31,1970-01-01 00:00:00.000000084,198,7,-70.0,801.0,70
227,2012-11-01,1970-01-01 00:00:00.000000085,198,7,-71.0,805.0,71
228,2012-11-02,1970-01-01 00:00:00.000000086,199,7,-71.0,808.0,72
229,2012-11-03,1970-01-01 00:00:00.000000087,199,7,-70.0,808.0,73
230,2012-11-04,1970-01-01 00:00:00.000000088,200,7,-70.0,811.0,74
231,2012-11-05,1970-01-01 00:00:00.000000089,201,7,-73.0,813.0,75
233,2012-11-06,1970-01-01 00:00:00.000000090,201,7,-71.0,813.0,76
234,2012-11-07,1970-01-01 00:00:00.000000091,202,7,-74.0,817.0,77
235,2012-11-08,1970-01-01 00:00:00.000000092,202,7,-74.0,820.0,78
236,2012-11-09,1970-01-01 00:00:00.000000093,203,7,-72.0,819.0,79
237,2012-11-10,1970-01-01 00:00:00.000000094,204,7,-70.0,822.0,80
238,2012-11-11,1970-01-01 00:00:00.000000095,204,7,-68.0,822.0,81
239,2012-11-12,1970-01-01 00:00:00.000000096,205,7,-71.0,826.0,82
240,2012-11-13,1970-01-01 00:00:00.000000097,206,7,-68.0,828.0,83
241,2012-11-14,1970-01-01 00:00:00.000000098,206,7,-68.0,828.0,84
242,2012-11-15,1970-01-01 00:00:00.000000099,207,7,-68.0,829.0,85
3,2012-11-16,1970-01-01 00:00:00.000000100,207,7,-66.0,829.0,86
4,2012-11-17,1970-01-01 00:00:00.000000101,208,7,-65.0,830.0,87
5,2012-11-18,1970-01-01 00:00:00.000000102,209,7,-67.0,833.0,88
6,2012-11-19,1970-01-01 00:00:00.000000103,209,7,-66.0,836.0,89
7,2012-11-20,1970-01-01 00:00:00.000000104,210,8,-67.0,838.0,90
8,2012-11-21,1970-01-01 00:00:00.000000105,211,8,-66.0,839.0,91
9,2012-11-23,1970-01-01 00:00:00.000000106,211,8,-66.0,841.0,92
10,2012-11-24,1970-01-01 00:00:00.000000107,212,8,-66.0,844.0,93
11,2012-11-25,1970-01-01 00:00:00.000000108,212,8,-65.0,845.0,94
12,2012-11-26,1970-01-01 00:00:00.000000109,213,8,-64.0,844.0,95
14,2012-11-27,1970-01-01 00:00:00.000000110,214,8,-65.0,848.0,96
15,2012-11-28,1970-01-01 00:00:00.000000111,214,8,-66.0,849.0,97
16,2012-11-29,1970-01-01 00:00:00.000000112,215,8,-65.0,852.0,98
17,2012-11-30,1970-01-01 00:00:00.000000113,216,8,-66.0,857.0,99
18,2012-12-01,1970-01-01 00:00:00.000000114,216,8,-69.0,857.0,100
19,2012-12-02,1970-01-01 00:00:00.000000115,217,8,-66.0,857.0,101
20,2012-12-03,1970-01-01 00:00:00.000000116,217,8,-67.0,859.0,102
21,2012-12-04,1970-01-01 00:00:00.000000117,218,8,-66.0,861.0,103
22,2012-12-05,1970-01-01 00:00:00.000000118,219,8,-65.0,864.0,104
